Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Latitude,Longitude
2024,40041,44213.0,4213.0,St Thomas More's Catholic School,Newstead,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stm.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1036.0,62.0,15.0,37.0,31.0,17.0,24.0,18.9,23.0,11.9,313.0,159.0,154.0,313.0,5.0,4.0,96.0,0.0,-41.44512,147.157534
2024,40042,44505.0,4505.0,St Paul's Catholic School,Bridgewater,TAS,7030,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpauls.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,895.0,10.0,63.0,25.0,9.0,3.0,21.0,15.9,26.0,15.9,170.0,81.0,89.0,170.0,32.0,5.0,95.0,0.0,-42.737339,147.247605
2024,40043,45272.0,5272.0,Circular Head Christian School,Smithton,TAS,7330,Independent,Combined,School Single Entity,Individual Reporting,http://www.chcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,916.0,14.0,49.0,32.0,13.0,5.0,25.0,17.9,31.0,14.9,257.0,136.0,121.0,255.2,32.0,2.0,98.0,0.0,-40.8497,145.118
2024,40044,45918.0,5918.0,Southern Christian College,Kingston,TAS,7050,Independent,Combined,School Single Entity,Individual Reporting,http://www.scc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1061.0,72.0,14.0,27.0,26.0,33.0,35.0,28.1,30.0,15.4,328.0,156.0,172.0,325.6,6.0,24.0,76.0,0.0,-42.990905,147.307777
2024,40045,46592.0,6592.0,Brooks High School,Rocherlea,TAS,7248,Government,Secondary,School Single Entity,Individual Reporting,https://brookshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,894.0,9.0,70.0,22.0,6.0,3.0,39.0,35.4,39.0,28.5,452.0,219.0,233.0,447.0,18.0,8.0,91.0,1.0,-41.37813391,147.1213599
2024,40046,46593.0,6593.0,Flinders Island District High School,Whitemark,TAS,7255,Government,Combined,School Single Entity,Individual Reporting,https://flindersislanddistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-10,Very Remote,935.0,19.0,30.0,30.0,24.0,15.0,17.0,13.9,21.0,11.0,101.0,47.0,54.0,99.0,27.0,3.0,95.0,2.0,-40.11254151,148.0348628
2024,40047,46595.0,6595.0,Lilydale District School,Lilydale,TAS,7268,Government,Combined,School Single Entity,Individual Reporting,https://lilydale.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,944.0,22.0,56.0,28.0,11.0,5.0,39.0,31.4,31.0,19.2,330.0,179.0,151.0,314.7,7.0,1.0,98.0,1.0,-41.25251745,147.2159829
2024,40048,46596.0,6596.0,Ravenswood Heights Primary School,Ravenswood,TAS,7250,Government,Primary,School Single Entity,Individual Reporting,https://ravenswoodheightsprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Inner Regional,827.0,4.0,86.0,12.0,2.0,0.0,30.0,24.8,33.0,21.1,275.0,137.0,138.0,262.2,28.0,0.0,99.0,1.0,-41.41878768,147.1753683
2024,40049,46597.0,6597.0,Scottsdale High School,Scottsdale,TAS,7260,Government,Secondary,School Single Entity,Individual Reporting,https://scottsdalehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,913.0,13.0,67.0,25.0,8.0,1.0,29.0,26.9,23.0,15.0,263.0,118.0,145.0,258.4,8.0,1.0,99.0,0.0,-41.1546,147.51
2024,40050,46600.0,6600.0,Parklands High School,Romaine,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,https://parklandshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,883.0,8.0,70.0,22.0,6.0,1.0,41.0,39.0,38.0,27.5,405.0,195.0,210.0,401.8,21.0,1.0,96.0,3.0,-41.07905504,145.90176
2024,40051,46601.0,6601.0,Reece High School,Devonport,TAS,7310,Government,Secondary,School Single Entity,Individual Reporting,https://reecehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,923.0,16.0,56.0,27.0,12.0,5.0,49.0,41.7,35.0,27.6,518.0,253.0,265.0,517.7,19.0,2.0,96.0,2.0,-41.189,146.352
2024,40052,46602.0,6602.0,Ulverstone Secondary College,Ulverstone,TAS,7315,Government,Secondary,School Single Entity,Individual Reporting,https://ulverstonehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,912.0,13.0,61.0,26.0,10.0,3.0,49.0,40.4,39.0,26.0,509.0,234.0,275.0,500.6,16.0,1.0,98.0,1.0,-41.16325954,146.1708234
2024,40053,46603.0,6603.0,Wynyard High School,Wynyard,TAS,7325,Government,Secondary,School Single Entity,Individual Reporting,https://wynyardhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,919.0,15.0,59.0,26.0,11.0,4.0,26.0,22.4,24.0,18.0,268.0,117.0,151.0,264.1,20.0,1.0,98.0,0.0,-40.98627358,145.7176428
2024,40054,46604.0,6604.0,Cosgrove High School,Glenorchy,TAS,7010,Government,Secondary,School Single Entity,Individual Reporting,https://cosgrovehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,871.0,6.0,72.0,20.0,7.0,1.0,36.0,32.3,36.0,25.5,312.0,135.0,177.0,311.6,26.0,6.0,92.0,2.0,-42.83650615,147.283187
2024,40056,46608.0,6608.0,Dover District School,Dover,TAS,7117,Government,Combined,School Single Entity,Individual Reporting,https://doverdistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,882.0,8.0,59.0,26.0,12.0,3.0,21.0,18.6,25.0,14.5,144.0,65.0,79.0,136.0,33.0,5.0,93.0,3.0,-43.31008295,147.0130337
2024,40057,46609.0,6609.0,Geeveston Primary School,Geeveston,TAS,7116,Government,Primary,School Single Entity,Individual Reporting,https://geevestonprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Outer Regional,899.0,10.0,53.0,27.0,15.0,5.0,9.0,6.6,11.0,6.3,41.0,18.0,23.0,38.2,41.0,0.0,100.0,0.0,-43.16224412,146.9221263
2024,40058,46610.0,6610.0,Huonville High School,Huonville,TAS,7109,Government,Secondary,School Single Entity,Individual Reporting,https://huonvillehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,896.0,10.0,61.0,25.0,11.0,4.0,35.0,29.5,33.0,23.3,283.0,134.0,149.0,265.9,27.0,2.0,96.0,2.0,-43.02374508,147.0469488
2024,40059,46611.0,6611.0,Bayview Secondary College,Rokeby,TAS,7019,Government,Secondary,School Single Entity,Individual Reporting,https://bayviewsc.education.tas.edu.au,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,873.0,7.0,72.0,20.0,7.0,1.0,37.0,33.9,35.0,26.0,381.0,174.0,207.0,373.4,22.0,1.0,95.0,4.0,-42.89719843,147.4450042
2024,40060,46614.0,6614.0,Bothwell District High School,Bothwell,TAS,7030,Government,Combined,School Single Entity,Individual Reporting,https://bothwelldistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,912.0,13.0,59.0,22.0,14.0,4.0,13.0,10.5,12.0,8.2,79.0,49.0,30.0,76.7,8.0,0.0,68.0,32.0,-42.38402831,147.0157196
2024,40061,46615.0,6615.0,Deloraine High School,Deloraine,TAS,7304,Government,Secondary,School Single Entity,Individual Reporting,https://delorainehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,931.0,18.0,51.0,29.0,14.0,7.0,26.0,23.7,19.0,16.0,262.0,129.0,133.0,257.7,18.0,3.0,96.0,1.0,-41.52974888,146.6601803
2024,40062,46616.0,6616.0,Glenora District School,Glenora,TAS,7140,Government,Combined,School Single Entity,Individual Reporting,https://glenoradistrictschool.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,883.0,8.0,73.0,22.0,4.0,1.0,24.0,20.6,20.0,15.0,205.0,98.0,107.0,194.6,15.0,0.0,91.0,9.0,-42.69690112,146.8894489
2024,40063,46618.0,6618.0,New Norfolk High School,New Norfolk,TAS,7140,Government,Secondary,School Single Entity,Individual Reporting,https://newnorfolkhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,889.0,9.0,73.0,20.0,6.0,2.0,34.0,30.0,32.0,24.9,306.0,137.0,169.0,304.0,18.0,0.0,98.0,1.0,-42.78854201,147.061232
